predictor,importance,target,model,abs_importance
ebq_positive_controllability_t1,0.004308203030526091,hr_gameplay_sd_mean_across_matches,Random Forest,0.004308203030526091
ress_reappraisal_t1,-0.004164409130171559,hr_gameplay_sd_mean_across_matches,Random Forest,0.004164409130171559
ress_suppression_t1,0.003742154717718403,hr_gameplay_sd_mean_across_matches,Random Forest,0.003742154717718403
flourishing_t1,0.003227456290847232,hr_gameplay_sd_mean_across_matches,Random Forest,0.003227456290847232
ress_engagement_t1,0.0022348283051461014,hr_gameplay_sd_mean_across_matches,Random Forest,0.0022348283051461014
gaming_disorder_t1,-0.002080999789317466,hr_gameplay_sd_mean_across_matches,Random Forest,0.002080999789317466
body_awareness_t1,0.0020542597754478913,hr_gameplay_sd_mean_across_matches,Random Forest,0.0020542597754478913
ebq_negative_controllability_t1,-0.0019976914302533228,hr_gameplay_sd_mean_across_matches,Random Forest,0.0019976914302533228
ress_distraction_t1,-0.0017843485381187163,hr_gameplay_sd_mean_across_matches,Random Forest,0.0017843485381187163
ebq_positive_usefulness_t1,0.001591222655564772,hr_gameplay_sd_mean_across_matches,Random Forest,0.001591222655564772
ebq_negative_usefulness_t1,0.001293650591724472,hr_gameplay_sd_mean_across_matches,Random Forest,0.001293650591724472
health_t1,-0.0012705502909770585,hr_gameplay_sd_mean_across_matches,Random Forest,0.0012705502909770585
fixed_mindset_t1,8.012447993506644e-4,hr_gameplay_sd_mean_across_matches,Random Forest,8.012447993506644e-4
ress_rumination_t1,-6.004055860520374e-4,hr_gameplay_sd_mean_across_matches,Random Forest,6.004055860520374e-4
phq2_t1,5.764810018957172e-4,hr_gameplay_sd_mean_across_matches,Random Forest,5.764810018957172e-4
ress_relaxation_t1,-2.3078724424991582e-4,hr_gameplay_sd_mean_across_matches,Random Forest,2.3078724424991582e-4
phq2_t1,0.3312129225034192,hr_recovery_delta_mean_across_matches,Random Forest,0.3312129225034192
gaming_disorder_t1,-0.21672713683776945,hr_recovery_delta_mean_across_matches,Random Forest,0.21672713683776945
alexithymia_t1,-0.1999030543183409,hr_recovery_delta_mean_across_matches,Random Forest,0.1999030543183409
negative_affect_t1,0.15146462088671805,hr_recovery_delta_mean_across_matches,Random Forest,0.15146462088671805
swls3_t1,0.14568469459477384,hr_recovery_delta_mean_across_matches,Random Forest,0.14568469459477384
flourishing_t1,0.1298267397656215,hr_recovery_delta_mean_across_matches,Random Forest,0.1298267397656215
ress_rumination_t1,-0.1201830691199587,hr_recovery_delta_mean_across_matches,Random Forest,0.1201830691199587
ebq_negative_usefulness_t1,-0.0999570034115097,hr_recovery_delta_mean_across_matches,Random Forest,0.0999570034115097
ebq_positive_controllability_t1,0.09767586182011868,hr_recovery_delta_mean_across_matches,Random Forest,0.09767586182011868
ress_reappraisal_t1,0.09339537482499002,hr_recovery_delta_mean_across_matches,Random Forest,0.09339537482499002
ress_relaxation_t1,-0.08894051642939953,hr_recovery_delta_mean_across_matches,Random Forest,0.08894051642939953
positive_affect_t1,0.08369447423204851,hr_recovery_delta_mean_across_matches,Random Forest,0.08369447423204851
ress_suppression_t1,-0.07768132163168505,hr_recovery_delta_mean_across_matches,Random Forest,0.07768132163168505
ebq_positive_usefulness_t1,-0.07172545839910285,hr_recovery_delta_mean_across_matches,Random Forest,0.07172545839910285
health_t1,0.06862406152078683,hr_recovery_delta_mean_across_matches,Random Forest,0.06862406152078683
ebq_negative_controllability_t1,0.06751778106660097,hr_recovery_delta_mean_across_matches,Random Forest,0.06751778106660097
body_awareness_t1,0.06711570291884783,hr_recovery_delta_mean_across_matches,Random Forest,0.06711570291884783
gad2_t1,0.042730440513688704,hr_recovery_delta_mean_across_matches,Random Forest,0.042730440513688704
self_esteem_t1,0.03581690038272882,hr_recovery_delta_mean_across_matches,Random Forest,0.03581690038272882
fixed_mindset_t1,0.03150277591874198,hr_recovery_delta_mean_across_matches,Random Forest,0.03150277591874198
ress_distraction_t1,0.026123972726807575,hr_recovery_delta_mean_across_matches,Random Forest,0.026123972726807575
ress_engagement_t1,-0.016888734752450847,hr_recovery_delta_mean_across_matches,Random Forest,0.016888734752450847
stress_debilitating_mindset_t1,0.014232523246971607,hr_recovery_delta_mean_across_matches,Random Forest,0.014232523246971607
