target,observed_min,observed_max,predicted_min,predicted_max,observed_sd,predicted_sd,mean_benchmark_prediction,rmse_xgboost,mae_xgboost,rsq_xgboost
Mean HR reactivity,-8.44894195095504,16.4504568417451,0.3092840909957886,1.1774297952651978,5.313749163120216,0.1916585297803054,0.9681296495699188,5.322580696839912,4.244551787035854,-0.0206255312058722
Peak HR reactivity,-7.05311260103484,19.68955155627,2.0515897274017334,2.870757579803467,5.625286702785201,0.17440327898584057,2.444420014064135,5.622439169837278,4.466792322956503,-0.016211780160418
Gameplay HR variability,0.775564849931247,4.5807716750921,1.808501362800598,2.4059855937957764,0.8591453175864165,0.11627796285478809,2.090790084805165,0.8492446596419042,0.6742786326253447,0.0060685971188249
Recovery-related HR change,-16.1787245807948,5.56224772262376,-3.1767823696136475,-1.7387208938598633,5.388025637139111,0.34528662395573434,-2.45867454603464,5.393223341789574,4.497612367288654,-0.0192049447728617
