target_1,target_2,correlation
hrv_reactivity_mean_across_matches,hrv_reactivity_mean_across_matches,1
hrv_gameplay_sd_mean_across_matches,hrv_reactivity_mean_across_matches,0.4352114144325682
hrv_recovery_delta_mean_across_matches,hrv_reactivity_mean_across_matches,-0.9354600617424027
hrv_reactivity_mean_across_matches,hrv_gameplay_sd_mean_across_matches,0.4352114144325682
hrv_gameplay_sd_mean_across_matches,hrv_gameplay_sd_mean_across_matches,1
hrv_recovery_delta_mean_across_matches,hrv_gameplay_sd_mean_across_matches,-0.3902479473968894
hrv_reactivity_mean_across_matches,hrv_recovery_delta_mean_across_matches,-0.9354600617424027
hrv_gameplay_sd_mean_across_matches,hrv_recovery_delta_mean_across_matches,-0.3902479473968894
hrv_recovery_delta_mean_across_matches,hrv_recovery_delta_mean_across_matches,1
